Compound ID,InChIKey,SMILES,S(M),logS,MW
CN_S001_C001,KROVJOROTYCIHS-UHFFFAOYSA-N,CC(C)CCOC1=CC2=C(C=C1)C1=CC=NC(C)=C1N2,7.45E-05,-4.12767,268.36
CN_S001_C002,RBLBQKRAADKOJW-UHFFFAOYSA-N,CCCN1C2=C(C=CC(OCCC(C)C)=C2)C2=CC=NC(C)=C12,6.44E-06,-5.19098,310.441
CN_S001_C003,BMWDRSIHHSOBKI-UHFFFAOYSA-N,CCCN1C2=C(C=CC(OCCC(C)C)=C2)C2=CC=[N+](CC3=CC=CC=C3)C(C)=C12,2.64E-03,-2.57840,401.573
CN_S002_C001,HNQZZUWCYONRSR-UHFFFAOYSA-N,CN1CCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,4.40E-05,-4.35655,398.474
CN_S002_C002,RQVYLFUGPHKWEQ-UHFFFAOYSA-N,NCCNC1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,1.80E-05,-4.74473,358.409
CN_S002_C003,VFRXHAHLQLTEBF-UHFFFAOYSA-N,CC(C)(C)OC(=O)NCCNC1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,2.00E-07,-6.69897,458.526
CN_S002_C004,QYVXDVMEBZRUJT-UHFFFAOYSA-N,CN(CCNC1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1)C(=O)OC(C)(C)C,3.00E-06,-5.52288,472.553
CN_S002_C005,KYJUMMMVWLVCOB-UHFFFAOYSA-N,CN(C)CCN(C)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,6.30E-04,-3.20066,400.49
CN_S002_C006,AEQFCZXRWCPMMC-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1CCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,1.00E-07,-7.00000,484.564
CN_S002_C007,JDMRWHRTEFZEIE-UHFFFAOYSA-N,C1CN(CCN1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,3.90E-05,-4.40894,384.447
CN_S002_C008,YWUPMPNKYIAUJA-UHFFFAOYSA-N,COC(=O)CN1CCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,1.60E-05,-4.79588,456.51
CN_S002_C009,RSCGCASVQAVELN-UHFFFAOYSA-N,OC(=O)CN1CCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,1.70E-05,-4.76955,442.483
CN_S002_C010,GYQBZNNUGRZVCE-UHFFFAOYNA-N,OC(=O)C1CCCN1C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,4.20E-05,-4.37675,413.441
CN_S002_C011,JGHSCGTUSYNBIU-UHFFFAOYNA-N,COC(=O)C1CCCN1C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,3.00E-07,-6.52288,427.468
CN_S002_C012,KLZSXOFOEWBDDG-UHFFFAOYSA-N,CN1CCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1C,2.00E-08,-7.69897,412.501
CN_S002_C013,KVBOLQLYXGWERK-UHFFFAOYSA-N,CN1CCN(CC1)C1=NC=C(C=N1)C1=C(C)C2=NC=CC(NC3=NC=CN=C3)=C2C=C1,5.00E-06,-5.30103,412.501
CN_S002_C014,DJTNWDPUBNJDLM-UHFFFAOYNA-N,CN1CC2CC1CN2C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,9.10E-04,-3.04096,410.485
CN_S002_C015,DJTNWDPUBNJDLM-YTXKPMTANA-N,CN1C[C@H]2C[C@@H]1CN2C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,9.60E-04,-3.01773,410.485
CN_S002_C016,QTCSSSCTITVYDH-UHFFFAOYSA-N,CCN1CCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,1.40E-05,-4.85387,412.501
CN_S002_C017,LVVGHCDDFRBTEX-UHFFFAOYSA-N,CCCN1CCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,4.40E-05,-4.35655,426.528
CN_S002_C018,KDKNHJDGMGSKPD-UHFFFAOYSA-N,CN1CCCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,9.90E-04,-3.00436,412.501
CN_S002_C019,UTKMGUYBIDQSEZ-UHFFFAOYSA-N,CCN1CCCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,8.00E-04,-3.09691,426.528
CN_S002_C020,XBFGPIAOEMLPBW-UHFFFAOYSA-N,CCCN1CCCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,7.80E-05,-4.10791,440.555
CN_S002_C021,RUTWINBBLHBTKT-UHFFFAOYSA-N,C1CCCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,2.00E-06,-5.69897,397.486
CN_S002_C022,YKYDEMXMOOSKRT-UHFFFAOYSA-N,CN1CC2(C1)CCN(C2)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC=CN=C3)=C2C=C1,6.90E-04,-3.16115,424.512
CN_S002_C023,VOKBFPYJGFPGFD-UHFFFAOYNA-N,CN1CCC2(CCN(C2)C2=NC=C(C=N2)C2=CC3=NC=CC(NC4=NC=CN=C4)=C3C=C2)C1,7.00E-04,-3.15490,438.539
CN_S002_C024,WFGXHPAHGZLTGY-UHFFFAOYSA-N,CN1CCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3CCCCC3)=C2C=C1,9.80E-05,-4.00877,402.546
CN_S002_C025,OGZYALLUYWRJDJ-UHFFFAOYSA-N,CN1CCC(CC1)NC1=C2C=CC(=CC2=NC=C1)C1=CN=C(N=C1)N1CCN(C)CC1,1.00E-03,-3.00000,417.561
CN_S002_C026,RTHAONCTVLHOSA-UHFFFAOYSA-N,CN(C)C1CCC(CC1)NC1=C2C=CC(=CC2=NC=C1)C1=CN=C(N=C1)N1CCN(C)CC1,6.60E-04,-3.18046,445.615
CN_S002_C027,MUQSBSAKZWALCR-UHFFFAOYSA-N,CN1CCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NCCN3CCCC3)=C2C=C1,5.90E-04,-3.22915,417.561
CN_S002_C028,CHBLNCUQSUDKSM-UHFFFAOYSA-N,CN1CCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3CCOCC3)=C2C=C1,7.60E-04,-3.11919,404.518
CN_S002_C029,ZJHMFVUSUDUHIA-UHFFFAOYSA-N,CN1CCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NCC3CCOCC3)=C2C=C1,7.60E-04,-3.11919,418.545
CN_S002_C030,PODATHBTXKXLEA-VRZHNFAFNA-N,CN1CCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3CCCC[C@H]3O)=C2C=C1,9.80E-04,-3.00877,418.545
